Name, Original Size, Huffman, LZ77, LZW, LRE
NMEAzigzagportalegre200.json,4559,2181,3738,2492,4559
NMEArossio-fortios200.json,5361,2433,4566,2616,5361
NMEArossio-urra200.json,10668,4533,8304,4312,10668
NMEAzigzagfortios200.json,5359,2378,4182,2548,5359
NMEArossio-carreiras200.json,5361,2414,4347,2614,5361
NMEAperimetroportalegre200.json,5361,2449,4473,2586,5361
